ID	Site	  x	  y	  z
1	Fp1	-2.7	 8.6	 3.6
2	Fp2	 2.7	 8.6	 3.6
3	F3	-4.7	 6.2	 8.0
4	F4	 4.7	 6.2	 8.0
5	C3	-6.1	 0.0	 9.7
6	C4	 6.1	 0.0	 9.7
7	P3	-4.7	-6.2	 8.0
8	P4	 4.7	-6.2	 8.0
9	O1	-2.7	-8.6	 3.6
10	O2	 2.7	-8.6	 3.6
11	F7	-6.7	 5.2	 3.6
12	F8	 6.7	 5.2	 3.6
13	P7	-6.7	-5.2	 3.6
14	P8	 6.7	-5.2	 3.6
15	Fz	 0.0	 6.7	 9.5
16	FCz	 0.0	 3.4	11.3
17	Cz	 0.0	 0.0	12.0
18	CPz	 0.0	-3.4	11.3
19	Pz	 0.0	-6.7	 9.5
20	POz	 0.0	-8.3	 6.9
21	FC1	-3.0	 3.3	11.0
22	FC2	 3.0	 3.3	11.0
23	CP1	-3.0	-3.2	11.0
24	CP2	 3.0	-3.2	11.0
25	FC5	-5.5	 3.2	 6.6
26	FC6	 5.5	 3.2	 6.6
27	CP5	-7.2	-2.7	 6.6
28	CP6	 7.2	-2.7	 6.6
