"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","bandwagon","9","1","1184","7.08","0.47","0.27","0","0","0","0","0","NULL","NULL","NULL","12498","1562.25","2161","3","2","NN","768.50","0.01","217.79","30","0.94","666.32","-0.35","117.68","28","0.97"
"1","barbell","7","5","628","6.44","0.35","0.10","0","0","0","0","0","NULL","NULL","NULL","8213","1368.83","2006","2","1","NN","760.94","-0.16","245.72","31","0.94","629.89","-0.28","113.39","27","0.96"
"1","beeline","7","NULL","94","4.54","0.16","0.10","0","3","3","0","0","NULL","4.98","4.98","15380","2563.33","2665","2","2","NN","832.62","0.33","259.36","21","0.64","713.67","0.04","169.04","24","0.89"
"1","blackjack","9","2","2854","7.96","4.08","1.43","0","0","0","0","0","NULL","NULL","NULL","8135","1016.88","1513","2","2","NN","658.56","-0.34","214.81","32","1.00","580.15","-0.54","74.08","27","1.00"
"1","blackmail","9","2","927","6.83","7.73","3.10","0","0","0","0","0","NULL","NULL","NULL","9655","1206.88","1680","2","2","NN|VB","739.42","-0.26","250.79","31","0.97","633.21","-0.41","98.07","28","1.00"
"1","blacksmith","10","2","4749","8.47","2.10","0.60","0","0","0","0","0","NULL","NULL","NULL","11243","1249.22","1730","2","2","NN","781.25","-0.15","433.97","32","0.97","617.30","-0.50","84.37","27","1.00"
"1","blockbuster","11","NULL","1395","7.24","1.06","0.55","0","0","0","0","0","NULL","NULL","NULL","20380","2038.00","1848","3","3","NN","655.55","-0.52","192.61","33","0.97","629.63","-0.49","141.98","27","1.00"
"1","blockhead","9","NULL","68","4.22","0.80","0.39","1","1","1","1","1","2.20","2.20","2.20","8881","1110.13","1361","2","2","NN","694.34","-0.23","153.88","29","0.91","603.59","-0.54","91.27","27","1.00"
"1","bloodshot","9","1","429","6.06","0.51","0.30","0","0","0","0","0","NULL","NULL","NULL","7919","989.88","1103","2","2","JJ","710.44","-0.22","244.21","34","0.97","586.52","-0.52","81.00","27","1.00"
"1","blowhard","8","NULL","94","4.54","0.37","0.20","0","0","0","0","0","NULL","NULL","NULL","8305","1186.43","1201","2","NULL","NN|JJ","1000.74","0.27","510.28","23","0.72","735.63","0.04","209.98","27","1.00"
"1","bootlegger","10","1","76","4.33","0.65","0.26","0","0","0","0","0","NULL","NULL","NULL","14477","1608.56","2322","3","3","NN","807.70","0.10","270.90","30","0.88","706.92","0.03","131.56","26","0.96"
"1","brainchild","10","NULL","222","5.40","0.22","0.13","0","0","0","0","0","NULL","NULL","NULL","17261","1917.89","2226","2","2","NN","798.91","0.10","265.93","32","0.94","708.00","0.03","165.27","27","1.00"
