"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","bodyguard","9","1","3665","8.21","5.73","1.91","0","0","0","0","0","NULL","NULL","NULL","5876","734.50","911","3","2","NN","750.71","-0.23","276.19","34","1.00","694.19","-0.29","163.75","27","0.96"
"1","catchphrase","11","NULL","66","4.19","0.41","0.14","0","0","0","0","0","NULL","NULL","NULL","15147","1514.70","1951","2","2","NN","966.38","0.68","365.79","24","0.71","925.65","0.74","235.89","26","1.00"
"1","checklist","9","3","1859","7.53","0.76","0.37","0","0","0","0","0","NULL","NULL","NULL","14719","1839.88","2108","2","2","NN","661.48","-0.43","231.79","33","1.00","664.67","-0.41","115.71","27","1.00"
"1","courtyard","9","8","677","6.52","2.14","1.18","0","0","0","0","0","NULL","NULL","NULL","10914","1364.25","3006","2","2","NN","702.06","-0.41","348.27","32","0.94","678.59","-0.23","78.67","27","1.00"
"1","crossroad","9","NULL","112","4.72","0.18","0.10","0","0","0","0","0","NULL","NULL","NULL","9009","1126.13","1731","2","2","NN","740.88","-0.40","336.36","34","1.00","704.04","-0.13","147.13","27","1.00"
"1","crossword","9","NULL","782","6.66","1.75","0.76","0","0","0","0","0","NULL","NULL","NULL","9271","1158.88","1878","2","2","NN","671.09","-0.50","208.43","33","0.97","615.14","-0.50","92.87","28","1.00"
"1","flagship","8","NULL","1482","7.30","0.96","0.46","0","0","0","0","0","NULL","NULL","NULL","6456","922.29","1309","2","2","NN","770.55","-0.08","356.21","31","0.94","666.00","-0.25","146.85","28","1.00"
"1","floodlight","10","1","30","3.40","0.10","0.06","0","1","1","0","0","NULL","2.20","2.20","8092","899.11","1351","2","2","NN","728.00","-0.28","274.80","30","0.97","746.92","-0.05","129.48","26","0.96"
"1","godchild","8","NULL","23","3.14","0.04","0.02","0","0","0","0","0","NULL","NULL","NULL","5293","756.14","928","2","2","NN","877.80","0.27","318.00","30","0.94","737.54","-0.00","160.58","28","1.00"
"1","grapefruit","10","3","346","5.85","2.47","0.99","0","0","0","0","0","NULL","NULL","NULL","10496","1166.22","1853","2","2","NN","721.71","-0.21","264.51","34","1.00","647.89","-0.35","116.32","27","1.00"
"1","handbook","8","2","6519","8.78","1.02","0.42","0","0","0","0","0","NULL","NULL","NULL","8361","1194.43","1830","2","2","NN","614.59","-0.57","189.65","34","1.00","605.59","-0.52","134.36","27","1.00"
"1","handgun","7","3","2335","7.76","1.29","0.66","0","0","0","0","0","NULL","NULL","NULL","8761","1460.17","1691","2","2","NN","803.81","-0.14","314.73","32","1.00","642.71","-0.39","139.80","28","1.00"
"1","housewife","9","4","726","6.59","3.53","1.68","0","0","0","0","0","NULL","NULL","NULL","8219","1027.38","1589","2","2","NN","613.06","-0.52","136.67","34","1.00","621.96","-0.51","117.49","27","1.00"
"1","ladybug","7","NULL","140","4.94","0.39","0.15","0","0","0","0","0","NULL","NULL","NULL","4101","683.50","540","3","2","NN","643.65","-0.41","177.01","31","0.94","611.93","-0.46","96.54","28","1.00"
"1","mainland","8","11","3589","8.19","3.02","1.10","0","0","0","0","0","NULL","NULL","NULL","16882","2411.71","2131","2","2","NN","634.29","-0.44","180.20","34","0.97","659.26","-0.45","132.34","23","0.96"
"1","nosedive","8","NULL","100","4.61","0.16","0.10","0","0","0","0","0","NULL","NULL","NULL","12811","1830.14","1412","2","2","NN","980.79","0.65","361.57","14","0.45","873.48","0.69","213.48","21","0.91"
"1","padlock","7","2","415","6.03","0.69","0.33","1","0","0","0","0","5.77","NULL","NULL","5521","920.17","1165","2","2","NN|VB","759.68","-0.10","261.41","31","0.89","627.96","-0.44","106.46","26","0.96"
"1","peanut","6","6","2138","7.67","12.35","4.32","0","0","0","0","0","NULL","NULL","NULL","8174","1634.80","1815","2","2","NN","756.94","-0.15","327.07","33","0.97","695.46","-0.23","203.72","26","1.00"
