"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","armband","7","NULL","111","4.71","0.27","0.11","0","0","0","0","0","NULL","NULL","NULL","10000","1666.67","1094","2","2","NN","794.97","-0.02","328.20","32","0.97","727.93","-0.09","186.39","28","1.00"
"1","bridesmaid","10","NULL","218","5.38","2.45","0.92","0","0","0","0","0","NULL","NULL","NULL","15356","1706.22","2337","2","3","NN","795.56","-0.06","346.05","32","0.94","730.59","-0.06","188.77","27","1.00"
"1","classmate","9","3","372","5.92","1.53","0.73","0","0","0","0","0","NULL","NULL","NULL","16403","2050.38","2738","2","2","NN","679.56","-0.45","249.83","34","1.00","631.00","-0.46","111.21","26","1.00"
"1","corkscrew","9","3","212","5.36","1.12","0.52","0","0","0","0","0","NULL","NULL","NULL","12261","1532.63","3057","2","2","NN","812.74","-0.07","255.14","31","0.94","722.16","0.01","159.37","25","1.00"
"1","deckhand","8","NULL","7","1.95","0.18","0.08","0","0","0","0","0","NULL","NULL","NULL","11261","1608.71","2317","2","NULL","NULL","866.84","0.31","250.17","19","0.63","767.52","0.09","268.59","27","0.96"
"1","frostbite","9","3","336","5.82","0.88","0.45","0","0","0","0","0","NULL","NULL","NULL","14180","1772.50","2479","2","2","NN","802.40","-0.10","259.59","30","0.97","785.04","0.06","203.63","28","1.00"
"1","heatwave","8","NULL","151","5.02","0.10","0.04","0","0","0","0","0","NULL","NULL","NULL","10805","1543.57","1640","2","2","NN","762.91","-0.11","231.70","33","0.97","711.69","-0.18","210.13","26","0.96"
"1","household","9","32","5317","8.58","6.94","3.56","0","0","0","0","0","NULL","NULL","NULL","9322","1165.25","1726","2","2","NN|JJ","705.25","-0.39","206.01","32","0.94","593.89","-0.58","99.97","28","1.00"
"1","lumberjack","10","NULL","434","6.07","0.55","0.30","0","0","0","0","0","NULL","NULL","NULL","11197","1244.11","2016","3","2","NN","713.62","-0.34","223.64","34","1.00","616.31","-0.45","86.84","26","1.00"
"1","meatball","8","NULL","308","5.73","2.59","0.98","0","0","0","0","0","NULL","NULL","NULL","13256","1893.71","2016","2","2","NN","638.28","-0.62","196.20","32","0.97","657.19","-0.25","125.05","26","1.00"
"1","nightfall","9","4","498","6.21","2.31","1.23","0","0","0","0","0","NULL","NULL","NULL","8328","1041.00","1085","2","2","NN","660.63","-0.37","178.34","35","1.00","610.59","-0.46","91.50","27","1.00"
"1","nightmare","9","9","8471","9.04","22.39","10.22","0","0","0","0","0","NULL","NULL","NULL","12426","1553.25","1216","2","2","NN","772.13","-0.22","312.61","32","1.00","625.64","-0.51","125.60","28","1.00"
"1","payroll","7","16","3274","8.09","5.04","2.13","0","1","1","0","0","NULL","7.12","7.12","6639","1106.50","1356","2","2","NN","624.71","-0.52","166.34","34","1.00","634.59","-0.38","128.40","27","0.96"
"1","pillowcase","10","NULL","54","3.99","0.65","0.29","0","0","0","0","0","NULL","NULL","NULL","11318","1257.56","1758","3","2","NN","720.40","-0.23","223.47","30","0.97","632.61","-0.29","154.19","28","1.00"
"1","pipeline","8","6","4156","8.33","2.24","0.67","0","0","0","0","0","NULL","NULL","NULL","16662","2380.29","2720","2","2","NN","744.44","-0.23","281.10","34","1.00","673.43","-0.28","119.37","28","1.00"
"1","railroad","8","58","4755","8.47","12.43","3.49","0","0","0","0","0","NULL","NULL","NULL","9100","1300.00","1167","2","2","NN","594.19","-0.60","161.12","31","0.97","603.56","-0.49","108.13","25","1.00"
"1","railway","7","12","2946","7.99","1.57","0.70","0","1","1","0","0","NULL","5.96","5.96","6574","1095.67","1043","2","2","NN","677.06","-0.45","153.21","31","0.91","634.18","-0.44","97.21","28","1.00"
"1","rainbow","7","4","6749","8.82","7.98","2.77","0","0","0","0","0","NULL","NULL","NULL","12437","2072.83","1203","2","2","NN","686.82","-0.42","251.16","33","1.00","586.54","-0.62","100.70","28","1.00"
"1","rainfall","8","3","547","6.30","0.33","0.17","0","0","0","0","0","NULL","NULL","NULL","16369","2338.43","1586","2","2","NN","735.03","-0.51","397.29","36","1.00","591.15","-0.53","86.54","27","1.00"
"1","riverside","9","10","2133","7.67","1.75","0.58","0","0","0","0","0","NULL","NULL","NULL","18424","2303.00","2712","3","2","NN","782.90","-0.15","234.38","31","0.97","673.79","-0.21","179.65","28","1.00"
"1","staircase","9","8","876","6.78","1.75","0.88","0","0","0","0","0","NULL","NULL","NULL","12888","1611.00","1761","2","2","NN","645.68","-0.43","185.54","34","1.00","696.93","-0.16","133.63","29","1.00"
"1","storyteller","11","4","688","6.53","0.53","0.32","0","0","0","0","0","NULL","NULL","NULL","25690","2569.00","2237","4","3","NN","708.21","-0.28","241.68","33","0.97","729.69","0.05","108.39","26","1.00"
"1","teardrop","8","1","186","5.23","0.27","0.11","0","0","0","0","0","NULL","NULL","NULL","13093","1870.43","1877","2","2","NN","720.50","-0.27","255.11","34","1.00","695.42","-0.09","127.45","26","1.00"
"1","washboard","9","1","158","5.06","0.14","0.08","1","0","0","0","0","6.17","NULL","NULL","8228","1028.50","1352","2","2","NN","755.76","-0.28","361.49","33","1.00","599.61","-0.47","72.15","28","1.00"

