Occurences,Word,Length,Log_Freq_HAL,I_Mean_RT,I_NMG_Mean_RT,Transparency
1,bandwagon,9,7.08,768.5,666.32,0
1,barbell,7,6.44,760.94,629.89,0
1,beeline,7,4.54,832.62,713.67,0
1,blackjack,9,7.96,658.56,580.15,0
1,blackmail,9,6.83,739.42,633.21,0
1,blacksmith,10,8.47,781.25,617.3,0
1,blockbuster,11,7.24,655.55,629.63,0
1,blockhead,9,4.22,694.34,603.59,0
1,bloodshot,9,6.06,710.44,586.52,0
1,blowhard,8,4.54,1000.74,735.63,0
1,bootlegger,10,4.33,807.7,706.92,0
1,brainchild,10,5.4,798.91,708,0
1,bulkhead,8,5.84,798.41,710.29,0
1,butterfly,9,7.49,635.03,620.26,0
1,cocktail,8,7.31,614.21,602.54,0
1,copyright,9,10.68,675.25,630.77,0
1,cowboy,6,7.95,646.65,618.11,0
1,deadline,8,8.75,649.03,636.54,0
1,deadlock,8,6.35,715.42,674.56,0
1,fanfare,7,6.69,762.56,652.38,0
1,figurehead,10,4.72,778.33,759.04,0
1,flapjack,8,4.93,745.32,650.81,0
1,flashback,9,7.24,620.56,635.27,0
1,fortnight,9,5.78,791.83,817.73,0
1,freeholder,10,2.2,776,703.72,0
1,fullback,8,4.84,723.55,658.04,0
1,gangplank,9,3.04,968.07,812.89,0
1,greenhorn,9,3.83,850.61,717.42,0
1,hallmark,8,7.09,664.56,616.89,0
1,hamstring,9,5.54,802.97,722.61,0
1,highbrow,8,4.62,883.77,670.93,0
1,highlight,9,8.07,605.28,633.96,0
1,hogwash,7,6.26,730.93,663.04,0
1,jackpot,7,6.88,598.18,636.52,0
1,joystick,8,8.84,656.91,636.42,0
1,kingpin,7,5.89,686.1,670.28,0
1,longhand,8,3.58,731.19,645.86,0
1,loophole,8,6.42,686.89,670.61,0
1,mainstay,8,5.86,814.23,731.85,0
1,network,7,11.89,732.21,584.57,0
1,piecemeal,9,5.59,998.59,918.29,0
1,pineapple,9,6.46,742.57,651.65,0
1,ragtime,7,6.5,715.26,591.7,0
1,rosewater,9,3.78,751.9,686.93,0
1,scapegoat,9,6.38,790.33,801.04,0
1,shorthand,9,6.42,602.16,663.7,0
1,showcase,8,7.86,677.09,654.39,0
1,sideboard,9,6.22,754.74,664.5,0
1,sideburns,9,4.87,733.79,698.71,0
1,sideline,8,5.87,686.42,703.67,0
1,snapdragon,10,4.11,822.58,861.37,0
1,spitfire,8,6.51,826.68,693.64,0
1,stalemate,9,6.15,905.28,815.37,0
1,starboard,9,6.08,727.17,697.93,0
1,stoolpigeon,11,0,1058.67,899.16,0
1,sweepstake,10,2.3,769.81,712.15,0
1,tailgate,8,5.03,728.66,643.54,0
1,turncoat,8,3.97,741.97,758.22,0
1,wallflower,10,4.45,723.24,648.81,0
1,warhead,7,6.39,776.36,649,0
1,watercress,10,4.2,930.82,844.93,0
1,watertable,10,0,1132.46,779.21,0
1,backbone,8,8.33,657.74,615.68,1
1,barnyard,8,5.33,778.83,811.19,1
1,bathroom,8,8.77,553.7,583.1,1
1,battlefield,11,7.46,943.97,693.48,1
1,bedroom,7,8.82,671.94,593.75,1
1,beefsteak,9,3.78,829.68,737.72,1
1,birthday,8,9.05,686.63,597,1
1,birthplace,10,6.5,759.71,593.46,1
1,bookshelf,9,7.02,673.94,609.5,1
1,bowstring,9,3.89,997.09,826.18,1
1,campfire,8,6.2,663.35,639.52,1
1,campsite,8,6.03,812.24,780.54,1
1,candlelight,11,5.96,734.27,641.85,1
1,cheekbone,9,3.85,753.65,681.77,1
1,classroom,9,8.37,578.34,616.75,1
1,coalmine,8,4.39,1008.54,891.83,1
1,cornfield,9,3.76,761.29,770.37,1
1,courtroom,9,6.89,721.36,666.21,1
1,crewman,7,5.62,790.33,671.7,1
1,daylight,8,7.64,671.47,642.85,1
1,dollhouse,9,4.55,709.91,638.86,1
1,doorbell,8,6.27,729.59,654.68,1
1,doorhandle,10,1.79,750.53,689.21,1
1,doorknob,8,5.21,744.85,661.96,1
1,doorstep,8,6.74,765.3,611.54,1
1,drainpipe,9,3.3,937.15,874.5,1
1,earthquake,10,8.63,730.44,616.59,1
1,fairyland,9,3.33,726.22,634.48,1
1,farmhouse,9,5.46,639.06,651.07,1
1,farmland,8,5.74,696.85,664.39,1
1,firewood,8,5.8,627.03,623.93,1
1,flagpole,8,5.04,695.4,610.75,1
1,flowerpot,9,3.87,831.88,667.43,1
1,foghorn,7,4.91,787.5,768.27,1
1,footpath,8,4.29,794.39,662.42,1
1,gunshot,7,6.17,629.28,600.48,1
1,hailstorm,9,3.99,721.83,667.93,1
1,hairbrush,9,6.21,659.39,618.75,1
1,haircut,7,6.91,647.79,602.39,1
1,headache,8,7.88,662.03,616.54,1
1,honeybee,8,3.89,690.58,656.19,1
1,lamplight,9,2.89,703.06,698.57,1
1,litterbin,9,0,1247.86,889.48,1
1,mailbag,7,4.6,786.09,629.82,1
1,moonlight,9,7.04,630.03,596.31,1
1,mousetrap,9,5.36,752.4,682.11,1
1,newspaper,9,9.73,600.12,638.3,1
1,nightlight,10,4.87,717.09,659.86,1
1,northeast,9,8.34,724.71,641.36,1
1,paintbrush,10,6.42,648.91,679.19,1
1,pillbox,7,4.65,660.88,641.74,1
1,racehorse,9,4.08,705.18,670.96,1
1,raincoat,8,5.25,740.32,637.18,1
1,rainstorm,9,4.75,747.61,617.04,1
1,sailboat,8,6.26,616.03,659.25,1
1,seawater,8,5.56,756.56,724.16,1
1,shipwreck,9,5.35,667.39,696.27,1
1,snowball,8,6.18,643.35,701.14,1
1,snowflake,9,5.52,639.94,745.93,1
1,songbook,8,6.08,728.71,633.52,1
1,soybean,7,5.73,768.53,670.86,1
1,sunlight,8,7.87,643.75,657.96,1
1,tablecloth,10,4.38,703.41,714.59,1
1,teacup,6,4.63,666.61,654.45,1
1,teamwork,8,7.1,687.63,663.26,1
1,toothache,9,4.74,749,664.5,1
1,toothpaste,10,6.57,641.54,688,1
1,videotape,9,7.67,677.24,598.93,1
1,woodshed,8,4.14,845.03,690.65,1
2,girlfriend,10,8.95,690.47,648.07,1
