"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","backbone","8","4","4126","8.33","1.65","0.93","0","0","0","0","0","NULL","NULL","NULL","10860","1551.43","1818","2","2","NN","657.74","-0.44","134.60","34","1.00","615.68","-0.45","135.01","28","1.00"
"1","barnyard","8","1","207","5.33","0.88","0.38","0","0","0","0","0","NULL","NULL","NULL","8078","1154.00","1954","2","2","NN","778.83","0.03","270.76","30","0.88","811.19","0.20","237.17","26","1.00"
"1","bathroom","8","18","6414","8.77","61.67","21.88","0","0","0","0","0","NULL","NULL","NULL","10817","1545.29","1622","2","2","NN","553.70","-0.74","144.24","33","1.00","583.10","-0.59","137.46","29","1.00"
"1","battlefield","11","5","1729","7.46","3.24","1.53","0","0","0","0","0","NULL","NULL","NULL","14029","1402.90","2340","3","2","NN","943.97","0.28","460.94","30","0.97","693.48","-0.20","134.58","27","0.96"
"1","bedroom","7","52","6735","8.82","36.71","15.06","0","1","1","0","0","NULL","6.29","6.29","10025","1670.83","1185","2","2","NN","671.94","-0.43","271.65","32","1.00","593.75","-0.65","167.40","28","1.00"
"1","beefsteak","9","1","44","3.78","0.73","0.18","0","0","0","0","0","NULL","NULL","NULL","12317","1539.63","1708","2","2","NN","829.68","0.17","230.85","31","1.00","737.72","0.20","181.88","25","1.00"
"1","birthday","8","18","8557","9.05","97.22","19.93","0","0","0","0","0","NULL","NULL","NULL","4723","674.71","1199","2","2","NN","686.63","-0.34","258.41","32","0.97","597.00","-0.54","127.93","28","1.00"
"1","birthplace","10","6","665","6.50","0.80","0.48","0","0","0","0","0","NULL","NULL","NULL","9655","1072.78","1405","2","2","NN","759.71","-0.29","306.30","31","0.94","593.46","-0.47","72.69","26","1.00"
"1","bookshelf","9","1","1124","7.02","0.33","0.20","0","0","0","0","0","NULL","NULL","NULL","7038","879.75","1437","2","2","NN","673.94","-0.36","144.20","33","0.97","609.50","-0.50","80.67","28","1.00"
"1","bowstring","9","1","49","3.89","NULL","NULL","0","0","0","0","0","NULL","NULL","NULL","20503","2562.88","2940","2","2","NN","997.09","0.50","296.79","23","0.70","826.18","0.50","252.74","28","1.00"
"1","campfire","8","2","495","6.20","1.25","0.66","0","0","0","0","0","NULL","NULL","NULL","9786","1398.00","1684","2","2","NN","663.35","-0.49","209.56","34","0.97","639.52","-0.29","157.29","27","1.00"
"1","campsite","8","NULL","414","6.03","0.59","0.18","0","0","0","0","0","NULL","NULL","NULL","12202","1743.14","2497","2","2","NN","812.24","-0.02","384.09","29","0.88","780.54","0.06","168.24","28","1.00"
"1","candlelight","11","1","388","5.96","1.67","0.83","0","0","0","0","0","NULL","NULL","NULL","16887","1688.70","3174","3","2","NN","734.27","-0.23","310.24","33","1.00","641.85","-0.30","75.04","27","1.00"
"1","cheekbone","9","1","47","3.85","0.27","0.14","0","0","0","0","0","NULL","NULL","NULL","11877","1484.63","1779","2","2","NN","753.65","-0.17","276.53","31","0.97","681.77","-0.17","150.75","26","1.00"
"1","classroom","9","18","4309","8.37","4.45","1.96","0","0","0","0","0","NULL","NULL","NULL","9947","1243.38","1612","2","2","NN","578.34","-0.63","120.26","32","1.00","616.75","-0.39","142.77","28","1.00"
"1","coalmine","8","NULL","81","4.39","0.06","0.04","0","0","0","0","0","NULL","NULL","NULL","16604","2372.00","3561","2","2","NN|VB","1008.54","0.66","243.41","24","0.75","891.83","0.66","241.21","24","0.96"
"1","cornfield","9","1","43","3.76","0.71","0.30","0","0","0","0","0","NULL","NULL","NULL","10152","1269.00","3063","2","2","NN","761.29","-0.09","254.03","28","0.85","770.37","0.08","294.59","27","1.00"
"1","courtroom","9","2","985","6.89","8.37","2.91","0","0","0","0","0","NULL","NULL","NULL","12479","1559.88","3099","2","2","NN","721.36","-0.26","299.46","33","0.97","666.21","-0.32","167.88","29","1.00"
"1","crewman","7","NULL","275","5.62","0.98","0.26","1","1","7","0","6","4.98","7.47","6.23","10827","1804.50","1739","2","2","NN","790.33","-0.07","266.91","33","0.97","671.70","-0.24","101.50","27","0.96"
"1","daylight","8","15","2085","7.64","9.57","4.63","0","1","1","0","0","NULL","8.07","8.07","5428","775.43","922","2","2","NN","671.47","-0.47","213.71","32","1.00","642.85","-0.43","118.41","27","1.00"
"1","dollhouse","9","NULL","95","4.55","0.43","0.11","1","0","0","0","0","1.39","NULL","NULL","9893","1236.63","1794","2","NULL","NN","709.91","-0.32","167.27","33","0.94","638.86","-0.44","103.12","28","1.00"
"1","doorbell","8","2","530","6.27","8.33","3.21","0","0","0","0","0","NULL","NULL","NULL","8739","1248.43","1388","2","2","NN","729.59","-0.19","384.43","32","0.94","654.68","-0.34","161.64","28","1.00"
"1","doorhandle","10","NULL","6","1.79","NULL","NULL","0","0","0","0","0","NULL","NULL","NULL","14464","1607.11","1708","3","2","NN","750.53","-0.10","279.79","34","0.97","689.21","-0.15","137.29","28","1.00"
"1","doorknob","8","3","184","5.21","1.69","0.73","0","0","0","0","0","NULL","NULL","NULL","5801","828.71","1060","2","2","NN","744.85","-0.24","297.47","34","1.00","661.96","-0.31","147.00","28","1.00"
"1","doorstep","8","3","843","6.74","3.37","1.73","1","1","1","1","1","4.80","4.80","4.80","14371","2053.00","2018","2","2","NN","765.30","-0.19","282.35","33","0.97","611.54","-0.52","77.77","28","1.00"
"1","drainpipe","9","NULL","27","3.30","0.55","0.26","0","0","0","0","0","NULL","NULL","NULL","14410","1801.25","1896","2","2","NN","937.15","0.48","353.08","26","0.79","874.50","0.49","262.52","26","1.00"
"1","earthquake","10","9","5617","8.63","6.37","2.22","0","0","0","0","0","NULL","NULL","NULL","9316","1035.11","1838","2","2","NN","730.44","-0.25","278.99","32","0.97","616.59","-0.57","91.83","27","1.00"
"1","fairyland","9","NULL","28","3.33","0.24","0.11","0","1","1","0","0","NULL","9.42","9.42","10148","1268.50","1473","3","2","NN","726.22","-0.21","215.62","32","0.97","634.48","-0.27","120.89","27","1.00"
"1","farmhouse","9","8","234","5.46","1.31","0.55","0","0","0","0","0","NULL","NULL","NULL","10352","1294.00","1971","2","2","NN","639.06","-0.49","157.52","34","1.00","651.07","-0.31","123.36","28","1.00"
"1","farmland","8","1","312","5.74","0.39","0.24","1","1","1","1","1","2.94","2.94","2.94","11277","1611.00","2214","2","2","NN","696.85","-0.42","191.20","34","1.00","664.39","-0.38","124.92","28","1.00"
"1","firewood","8","NULL","329","5.80","1.51","0.77","0","0","0","0","0","NULL","NULL","NULL","8259","1179.86","1318","2","2","NN","627.03","-0.44","175.64","30","0.97","623.93","-0.48","85.83","28","1.00"
"1","flagpole","8","NULL","154","5.04","0.73","0.38","0","0","0","0","0","NULL","NULL","NULL","9077","1296.71","1451","2","2","NN","695.40","-0.41","348.07","30","0.91","610.75","-0.45","118.77","28","1.00"
"1","flowerpot","9","2","48","3.87","0.27","0.13","0","0","0","0","0","NULL","NULL","NULL","11522","1440.25","2317","2","2","NN","831.88","0.17","301.15","34","1.00","667.43","-0.20","117.52","28","1.00"
"1","foghorn","7","NULL","135","4.91","0.24","0.13","0","0","0","0","0","NULL","NULL","NULL","5992","998.67","1151","2","2","NN","787.50","-0.09","262.95","28","0.80","768.27","0.13","176.40","26","1.00"
"1","footpath","8","1","73","4.29","0.27","0.10","1","2","2","1","1","0.00","1.42","1.42","9055","1293.57","1816","2","2","NN","794.39","-0.06","304.94","28","0.85","662.42","-0.27","159.72","26","0.93"
"1","gunshot","7","NULL","476","6.17","10.20","3.70","0","0","0","0","0","NULL","NULL","NULL","7483","1247.17","1118","2","2","NN","629.28","-0.54","171.90","32","1.00","600.48","-0.55","71.14","27","1.00"
"1","hailstorm","9","1","54","3.99","0.20","0.10","0","0","0","0","0","NULL","NULL","NULL","12179","1522.38","1988","2","2","NN","721.83","-0.02","186.21","30","0.88","667.93","-0.14","104.50","27","1.00"
"1","hairbrush","9","NULL","499","6.21","0.73","0.37","0","0","0","0","0","NULL","NULL","NULL","7137","892.13","1114","2","2","NN","659.39","-0.43","177.98","33","0.97","618.75","-0.51","102.64","28","1.00"
